"Country","Male","Female"
"DZA",55.1,42.9
"AND",92.9,90.3
"ARG",75.2,73.5
"ARM",66.3,63.4
"AUS",87,86.1
"AUT",89.5,85.4
"AZE",83.9,75.8
"BHR",98.7,98.5
"BLR",79.3,79
"BEL",90.1,87.3
"BOL",47,41.7
"BIH",72.8,67.5
"BRA",70.9,70
"VGB",76.8,78.6
"BRN",90,90
"BGR",66.2,63.4
"CPV",57.9,56.5
"KHM",40,40
"CMR",43948,43880
"CHL",84,80.7
"COL",63.6,64.6
"CRI",73.7,74.5
"CIV",56.6,36.4
"HRV",77.3,73.3
"CUW",67.5,68.7
"CYP",84.3,84.6
"CZE",82.8,78.7
"DNK",97.4,97.2
"DJI",59.9,51.6
"DOM",74.6,75
"ECU",54.6,53.5
"EGY",52.4,41.3
"SLV",35.1,32.7
"EST",89.4,89.3
"FIN",90.2,87.6
"FRA",83.8,80.4
"GEO",64.5,61.2
"DEU",91.1,85.3
"GRC",74.9,71.1
"HKG",92,89.1
"HUN",77.4,74.8
"ISL",98.6,99.4
"IDN",42.3,37.5
"IRN",73.8,66.2
"IRL",83.3,85.7
"ISR",84.9,82.6
"ITA",77.1,71.8
"JAM",51.2,58.9
"JPN",93.7,89
"KAZ",80,77.9
"KOR",97.2,94.8
"KOS",89.9,89
"KWT",99.5,99.8
"LVA",87.4,85
"LTU",79.5,79.9
"LUX",98.1,96
"MAC",83.8,83.8
"MWI",43968,43956
"MYS",83.5,78.7
"MLT",81.6,81.7
"MUS",60.9,56.4
"MEX",67.3,64.4
"MDA",76,66.9
"MNG",42.9,51.1
"MNE",71.4,71.7
"MAR",68.5,61.1
"NLD",94.9,94.6
"NER",44019,44076
"NGA",43990,43927
"MKD",80.9,77.4
"NOR",96,97
"OMN",90.6,96.8
"PAK",43936,43960
"PSE",68.5,60.2
"PAN",49.9,52.5
"PRY",64.3,65.7
"PER",55.2,49.9
"POL",77.8,77.3
"PRT",76.4,73
"PRI",69.4,71.7
"QAT",100,99.3
"ROU",71.8,69.6
"RUS",81.8,80.1
"SAU",94.6,91.4
"SRB",76.8,70.1
"SGP",88.8,87.6
"SVK",80.7,80.6
"SVN",81.9,77.6
"ESP",90.7,90.7
"SDN",44090,11
"SWE",90.7,93.7
"CHE",90.9,88.5
"TWN",85.8,86.6
"THA",57.8,55.9
"TGO",43906,43990
"TUR",80.4,67.6
"UKR",65.5,60
"ARE",98.3,98.8
"GBR",94.5,95.3
"URY",74.2,75.3
"UZB",60.4,50
"ZMB",43966,43874
